Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
19-06-2002,145.45,145.5,147.7,140.55,141.2,141.4,142.5,22509
20-06-2002,141.4,137.15,146.6,137.15,142,142,142.97,27679
21-06-2002,142,142,145.8,140,140,141.55,143.18,22138
24-06-2002,141.55,140.5,151.95,139,151,150.3,147.35,78852
25-06-2002,150.3,154,169.2,150,167.1,165.1,160.76,352740
26-06-2002,165.1,168,172.7,163.1,163.15,166.1,168.11,674704
27-06-2002,166.1,167.4,167.5,161,163.5,163.85,163.82,146043
28-06-2002,163.85,166.8,167.4,162.15,162.4,162.95,164.8,128230
01-07-2002,162.95,166.5,166.5,160.15,162,161.9,161.55,57697
02-07-2002,161.9,162,162,155.7,159,158.4,158.53,51849
03-07-2002,158.4,159.9,163.2,155.5,155.8,156.05,159.49,73327
04-07-2002,156.05,158,163.8,157,160.5,160.95,160.29,129111
05-07-2002,160.95,164.95,170,162,166.5,166.7,166.22,151699
08-07-2002,166.7,164,169.45,163.5,168.5,166.9,165.62,86347
09-07-2002,166.9,169,175.5,168.5,172.25,172.4,173.18,280695
10-07-2002,172.4,173.05,174,168,172.9,170.2,170.38,98953
11-07-2002,170.2,168,173,166,172.8,172.1,169.9,84457
12-07-2002,172.1,174.5,175.95,165.25,166,167,170.75,103520
15-07-2002,167,167,167,156,163.4,162.1,161.01,85005
16-07-2002,162.1,160,163.5,160,162.8,162.35,162.22,25988
17-07-2002,162.35,161,169.8,158,169.5,166.45,161.64,59387
18-07-2002,166.45,168,179.65,167,178,176.35,172.83,161596
19-07-2002,176.35,177.7,180.9,175,175,177.25,178.09,301224
22-07-2002,177.25,170.05,171.5,157.05,162,160.05,165.09,81629
23-07-2002,160.05,157.25,169.2,157.2,167.1,168,166.21,165049
24-07-2002,168,161.1,165.5,161.1,163,162.1,162.76,29277
25-07-2002,162.1,168.7,171,158.5,160,161.45,164.86,33093
26-07-2002,161.45,166.5,166.5,158.1,158.55,159.55,159.95,55965
29-07-2002,159.55,163.8,163.8,152.65,158,159.4,157.38,55017
30-07-2002,159.4,163,163.9,158.5,161,159.95,160.3,62278
31-07-2002,159.95,157,162,152.3,159,160.2,157.33,57264
01-08-2002,160.2,151.15,163,151.15,153.5,155.6,156.83,18120
02-08-2002,155.6,153.5,155,148.05,152,152.65,151.8,50167
05-08-2002,152.65,151,155.4,151,152,153.25,154.06,13110
06-08-2002,153.25,155.95,155.95,151.05,152,152.05,152.17,7724
07-08-2002,152.05,155,159.5,153,158.9,157.9,157.09,37323
08-08-2002,157.9,163.85,165,155,160,160.35,161.38,73730
09-08-2002,160.35,162.9,163,159.6,160,160.45,160.33,52558
12-08-2002,160.45,161,161.95,159.45,160,160.3,160.48,17569
13-08-2002,160.3,160,162,158.5,160.35,159.15,160.76,9439
14-08-2002,159.15,161,161,159.35,160,160.05,160.03,23300
16-08-2002,160.05,160,161.95,152,160,160.4,160.03,12863
19-08-2002,160.4,160,163.45,159.2,160,160.25,160.06,13819
20-08-2002,160.25,161.8,161.8,160,160.05,160.1,160.4,9006
21-08-2002,160.1,160,162,158.55,160,160.2,160.34,12393
22-08-2002,160.2,161.85,161.85,155.6,156,156.75,158.59,5974
23-08-2002,156.75,157,160,154.35,158,158.65,157.83,14888
26-08-2002,158.65,156,159.05,150.1,158.5,158.35,158.3,7027
27-08-2002,158.35,157.25,159.3,155.1,156,156.6,157.54,7383
28-08-2002,156.6,157,159,155.5,155.9,157.4,156.65,10411
29-08-2002,157.4,153.2,160.35,153.2,160.35,160.05,157.94,18015
30-08-2002,160.05,158.55,160.75,158,159.75,160.1,159.44,11740
02-09-2002,160.1,163,163,158.6,160.05,159.8,159.81,16083
03-09-2002,159.8,160,160.9,158.7,160.25,159.75,159.65,9804
04-09-2002,159.75,157.6,159.8,157.6,157.6,158.85,158.82,11794
05-09-2002,158.85,159.75,160,157.05,160,158.85,158.76,14490
06-09-2002,158.85,157.75,159,157,157.4,158.15,157.95,7651
09-09-2002,158.15,156,158,153.1,157.5,157.45,155.69,12719
11-09-2002,157.45,156,158.5,156,156.8,156.75,157.22,8491
12-09-2002,156.75,157,158.25,156,156.65,156.45,156.65,8658
13-09-2002,156.45,156.15,157.2,152.6,152.6,153.45,154.81,6724
16-09-2002,153.45,154.5,154.5,150.1,151.5,150.65,152.06,5776
17-09-2002,150.65,152.2,155.65,148.2,154.25,154.5,153.08,14286
18-09-2002,154.5,153.3,154.2,151.3,153.5,152.8,152.44,7162
19-09-2002,152.8,151.55,152.75,149,151.5,151.2,150.77,9038
20-09-2002,151.2,146,151,145.1,151,150.1,149.55,8624
23-09-2002,150.1,158,158,149.85,150,150.45,152.18,4395
24-09-2002,150.45,150,152,148.5,151,151.05,150.7,16408
25-09-2002,151.05,149,153,148.1,152.7,152.85,151.07,8693
26-09-2002,152.85,152,154.5,150.25,154,153.9,153.18,11429
27-09-2002,153.9,152.1,153.75,149,149.5,149.8,151.01,7003
30-09-2002,149.8,150,152,149,151,150.1,150.02,12709
